iter,current_cost,best_cost,feasible
1,7409.851998,7409.851998,false
2,7409.851998,7409.851998,true
3,7165.725687,7165.725687,true
4,6407.693625,7165.725687,false
5,6407.693625,7165.725687,false
6,6407.693625,7165.725687,false
7,6275.387888,6275.387888,true
8,6247.493809,6247.493809,true
9,6108.918454,6108.918454,true
10,6108.918454,6108.918454,true
11,6055.931009,6055.931009,true
12,6018.353818,6018.353818,true
13,5965.025891,5965.025891,true
14,5936.873387,5936.873387,true
15,5905.435824,5905.435824,true
16,5579.500883,5579.500883,true
17,5520.490575,5520.490575,true
18,5520.490575,5520.490575,true
19,5520.490575,5520.490575,true
20,5520.490575,5520.490575,true
21,5520.490575,5520.490575,false
22,5520.490575,5520.490575,false
23,5520.490575,5520.490575,true
24,5249.802061,5249.802061,true
25,5249.802061,5249.802061,true
26,5249.802061,5249.802061,true
27,5075.581201,5075.581201,true
28,5062.722859,5062.722859,true
29,4805.263142,4805.263142,true
30,4805.263142,4805.263142,true
31,4805.263142,4805.263142,true
32,4805.263142,4805.263142,true
33,4652.481741,4652.481741,true
34,4499.541860,4499.541860,true
35,4464.595299,4464.595299,true
36,4402.750503,4464.595299,false
37,4402.750503,4464.595299,false
38,4402.750503,4464.595299,false
39,4402.750503,4464.595299,false
40,4385.551446,4464.595299,false
41,4375.797662,4464.595299,false
42,4375.797662,4464.595299,false
43,4375.797662,4464.595299,false
44,4408.572357,4464.595299,false
45,4375.797662,4464.595299,false
46,4459.763741,4459.763741,true
47,4418.535099,4418.535099,true
48,4418.535099,4418.535099,true
49,4548.716901,4418.535099,true
50,4548.716901,4418.535099,true
51,4548.716901,4418.535099,true
52,4562.855509,4418.535099,true
53,4548.716901,4418.535099,true
54,4618.844302,4418.535099,true
55,4618.844302,4418.535099,true
56,4618.844302,4418.535099,true
57,4601.802844,4418.535099,true
58,4485.795338,4418.535099,true
59,4485.795338,4418.535099,true
60,4485.795338,4418.535099,true
61,4228.686329,4228.686329,true
62,4228.686329,4228.686329,true
63,4223.047182,4223.047182,true
64,4223.047182,4223.047182,true
65,4223.047182,4223.047182,true
66,4222.661505,4222.661505,true
67,4208.658731,4208.658731,true
68,4190.835831,4190.835831,true
